Channel Number	Receive Frequency	Transmit Frequency	Offset Frequency	Offset Direction	Operating Mode	AMS	Name	Tone Mode	CTCSS	DCS	RX DGID	TX DGID	User CTCSS	Tx Power	Skip	Step	Clock Shift	Memory Group	Comment
316	147.16000	147.76000	600 kHz	Plus	FM	Off	W7MIR (RR#18)	Tone	146.2 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Mercer Island, WA (Mercer Island Radio Operators)
317	440.15000	445.15000	5.00 MHz	Plus	FM	Off	W7MIR (RR#19)	Tone	103.5 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Mercer Island, WA (Mercer Island Radio Operators)
318	147.10000	147.70000	600 kHz	Plus	FM	Off	W7DG (RR#20)	Tone	114.8 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Longview, WA (Lower Columbia Amateur Radio Association)
319	147.30000	147.90000	600 kHz	Plus	FM	Off	W7DG (RR#21)	Tone	114.8 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Woodland, WA (Lower Columbia Amateur Radio Association)
320	224.14000	222.54000	1.60 MHz	Minus	FM	Off	W7DG (RR#22)	Tone	114.8 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Longview, WA (N3EG)
321	444.90000	449.90000	5.00 MHz	Plus	FM	Off	W7DG (RR#23)	Tone	114.8 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Longview, WA (Lower Columbia Amateur Radio Association)
322	147.34000	147.94000	600 kHz	Plus	FM	Off	K6RFK (RR#24)	Tone	100.0 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Woodinville, WA (K6RFK's repeater system)
323	442.77500	447.77500	5.00 MHz	Plus	FM	Off	K6RFK (RR#25)	Tone	100.0 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Woodinville, WA (K6RFK's repeater system)
324	145.37000	144.77000	600 kHz	Minus	FM	Off	W7AAO (RR#26)	Tone	136.5 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Enumclaw, WA (Pierce County ARES)
325	146.64000	146.04000	600 kHz	Minus	FM	Off	W7AAO (RR#27)	Tone	103.5 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Edgewood, WA (Pierce County DEM)
326	927.85000	902.85000	25.00 MHz	Minus	FM	Off	W7AAO (RR#28)	Tone	114.8 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Buckley, WA (District 5 ARES)
327	146.76000	146.16000	600 kHz	Minus	FM	Off	WA7FW (RR#29)	Tone	103.5 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Federal Way, WA (Federal Way Amateur Radio Club)
328	147.04000	147.64000	600 kHz	Plus	FM	Off	WA7FW (RR#30)	Tone	103.5 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Federal Way, WA (Federal Way Amateur Radio Club)
329	442.92500	447.92500	5.00 MHz	Plus	FM	Off	WA7FW (RR#31)	DCS	103.5 Hz	036	00	00	1500 Hz	High	Off	Auto	Off	Off	Federal Way, WA (Federal Way Amateur Radio Club)
